"date","brl","cny","mxn","brl_interpolated","cny_interpolated","mxn_interpolated"
2012-12-09,2.08,6.2299,12.8503,TRUE,TRUE,TRUE
2012-12-10,2.0815,6.2296,12.7982,FALSE,FALSE,FALSE
2012-12-11,2.0785,6.246,12.7516,FALSE,FALSE,FALSE
2012-12-12,2.0791,6.2502,12.7332,FALSE,FALSE,FALSE
2012-12-13,2.079,6.2316,12.8003,FALSE,FALSE,FALSE
2012-12-14,2.0827,6.241,12.776,FALSE,FALSE,FALSE
2012-12-15,2.0827,6.241,12.776,TRUE,TRUE,TRUE
2012-12-16,2.0827,6.241,12.776,TRUE,TRUE,TRUE
2012-12-17,2.093,6.236,12.7537,FALSE,FALSE,FALSE
2012-12-18,2.0852,6.2322,12.7202,FALSE,FALSE,FALSE
2012-12-19,2.0747,6.2293,12.731,FALSE,FALSE,FALSE
2012-12-20,2.0596,6.2297,12.778,FALSE,FALSE,FALSE
2012-12-21,2.0767,6.2284,12.9322,FALSE,FALSE,FALSE
2012-12-22,2.0767,6.2284,12.9322,TRUE,TRUE,TRUE
2012-12-23,2.0767,6.2284,12.9322,TRUE,TRUE,TRUE
2012-12-24,2.079,6.2335,12.9848,FALSE,FALSE,FALSE
2012-12-25,2.079,6.2335,12.9848,TRUE,TRUE,TRUE
2012-12-26,2.0495,6.2351,13.01,FALSE,FALSE,FALSE
2012-12-27,2.0517,6.2358,13.0125,FALSE,FALSE,FALSE
2012-12-28,2.0445,6.2315,12.988,FALSE,FALSE,FALSE
2012-12-29,2.0445,6.2315,12.988,TRUE,TRUE,TRUE
2012-12-30,2.0445,6.2315,12.988,TRUE,TRUE,TRUE
2012-12-31,2.0476,6.2301,12.9635,FALSE,FALSE,FALSE
2013-01-01,2.0476,6.2301,12.9635,TRUE,TRUE,TRUE
2013-01-02,2.0425,6.2301,12.76,FALSE,FALSE,FALSE
2013-01-03,2.036,6.2301,12.7452,FALSE,FALSE,FALSE
2013-01-04,2.035,6.2303,12.7513,FALSE,FALSE,FALSE
2013-01-05,2.035,6.2303,12.7513,TRUE,TRUE,TRUE
2013-01-06,2.035,6.2303,12.7513,TRUE,TRUE,TRUE
2013-01-07,2.026,6.2294,12.7728,FALSE,FALSE,FALSE
2013-01-08,2.0393,6.2235,12.7891,FALSE,FALSE,FALSE
2013-01-09,2.0384,6.226,12.746,FALSE,FALSE,FALSE
2013-01-10,2.0325,6.223,12.6452,FALSE,FALSE,FALSE
2013-01-11,2.0375,6.2156,12.6591,FALSE,FALSE,FALSE
2013-01-12,2.0375,6.2156,12.6591,TRUE,TRUE,TRUE
2013-01-13,2.0375,6.2156,12.6591,TRUE,TRUE,TRUE
2013-01-14,2.0301,6.219,12.6368,FALSE,FALSE,FALSE
2013-01-15,2.0375,6.2134,12.6471,FALSE,FALSE,FALSE
2013-01-16,2.0405,6.216,12.6291,FALSE,FALSE,FALSE
2013-01-17,2.0425,6.2158,12.5857,FALSE,FALSE,FALSE
2013-01-18,2.0441,6.2152,12.6568,FALSE,FALSE,FALSE
2013-01-19,2.0441,6.2152,12.6568,TRUE,TRUE,TRUE
2013-01-20,2.0441,6.2152,12.6568,TRUE,TRUE,TRUE
2013-01-21,2.0441,6.2152,12.6568,TRUE,TRUE,TRUE
2013-01-22,2.0478,6.2196,12.6746,FALSE,FALSE,FALSE
2013-01-23,2.0375,6.2178,12.6587,FALSE,FALSE,FALSE
2013-01-24,2.0285,6.2179,12.6208,FALSE,FALSE,FALSE
2013-01-25,2.029,6.2203,12.6992,FALSE,FALSE,FALSE
2013-01-26,2.029,6.2203,12.6992,TRUE,TRUE,TRUE
2013-01-27,2.029,6.2203,12.6992,TRUE,TRUE,TRUE
2013-01-28,2.0028,6.224,12.7723,FALSE,FALSE,FALSE
2013-01-29,1.9893,6.2259,12.6901,FALSE,FALSE,FALSE
2013-01-30,1.986,6.2204,12.7491,FALSE,FALSE,FALSE
2013-01-31,1.9875,6.2186,12.7344,FALSE,FALSE,FALSE
2013-02-01,1.981,6.2265,12.6356,FALSE,FALSE,FALSE
2013-02-02,1.981,6.2265,12.6356,TRUE,TRUE,TRUE
2013-02-03,1.981,6.2265,12.6356,TRUE,TRUE,TRUE
2013-02-04,1.9913,6.2326,12.71,FALSE,FALSE,FALSE
2013-02-05,1.984,6.2292,12.626,FALSE,FALSE,FALSE
2013-02-06,1.9847,6.2315,12.6731,FALSE,FALSE,FALSE
2013-02-07,1.9708,6.2323,12.7381,FALSE,FALSE,FALSE
2013-02-08,1.9725,6.2323,12.7271,FALSE,FALSE,FALSE
2013-02-09,1.9725,6.2323,12.7271,TRUE,TRUE,TRUE
2013-02-10,1.9725,6.2323,12.7271,TRUE,TRUE,TRUE
2013-02-11,1.9724,6.2323,12.7556,FALSE,FALSE,FALSE
2013-02-12,1.968,6.2323,12.7326,FALSE,FALSE,FALSE
2013-02-13,1.9663,6.2323,12.7236,FALSE,FALSE,FALSE
2013-02-14,1.959,6.2323,12.6965,FALSE,FALSE,FALSE
2013-02-15,1.9615,6.2323,12.6883,FALSE,FALSE,FALSE
2013-02-16,1.9615,6.2323,12.6883,TRUE,TRUE,TRUE
2013-02-17,1.9615,6.2323,12.6883,TRUE,TRUE,TRUE
2013-02-18,1.9615,6.2323,12.6883,TRUE,TRUE,TRUE
2013-02-19,1.9564,6.2438,12.6681,FALSE,FALSE,FALSE
2013-02-20,1.9605,6.2371,12.6821,FALSE,FALSE,FALSE
2013-02-21,1.9727,6.2403,12.7543,FALSE,FALSE,FALSE
2013-02-22,1.971,6.2346,12.748,FALSE,FALSE,FALSE
2013-02-23,1.971,6.2346,12.748,TRUE,TRUE,TRUE
